date,category,title,link
"<pubDate>Fri, 13 Mar 2020 20:20:12 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>부천 3명 추가 확진…구로구 콜센터 관련 2차 감염 확산</title>,<link>http://www.hani.co.kr/arti/area/capital/932514.html</link>
"<pubDate>Fri, 13 Mar 2020 22:24:49 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>정부세종청사 공무원 확진 30명…해수부 공무원만 25명</title>,<link>http://www.hani.co.kr/arti/area/area_general/932527.html</link>
"<pubDate>Fri, 13 Mar 2020 21:41:52 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>김상조 “경제 불확실성 연속…정부 순발력있게 대응할 것”</title>,<link>http://www.hani.co.kr/arti/politics/politics_general/932522.html</link>
"<pubDate>Sun, 15 Mar 2020 09:18:14 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>“잃어버린 10년 돌려달라” 청소년이 기후소송 나섰다</title>,<link>http://www.hani.co.kr/arti/society/environment/932513.html</link>
"<pubDate>Fri, 13 Mar 2020 20:30:47 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>확진자보다 완치자 많아졌지만…“확산세 둔화로 보긴 일러”</title>,<link>http://www.hani.co.kr/arti/society/health/932515.html</link>
"<pubDate>Fri, 13 Mar 2020 22:47:03 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>“미국이 멈춰섰다”…학교·박물관·스포츠 줄줄이 스톱</title>,<link>http://www.hani.co.kr/arti/international/international_general/932492.html</link>
"<pubDate>Fri, 13 Mar 2020 20:25:18 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>‘비례연합’ 꾸리는 민주, 소수당 설득·명부 작성 갈길 험난</title>",<link>http://www.hani.co.kr/arti/politics/assembly/932506.html</link>
"<pubDate>Sun, 15 Mar 2020 09:18:28 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>코로나19, 한국 정치권 ‘기본소득 논의’ 활성화 계기 될까</title>",<link>http://www.hani.co.kr/arti/politics/politics_general/932508.html</link>
"<pubDate>Fri, 13 Mar 2020 21:24:52 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>문 대통령, 마크롱 대통령과 G20 특별 화상 정상회의 추진</title>",<link>http://www.hani.co.kr/arti/politics/bluehouse/932521.html</link>
"<pubDate>Sun, 15 Mar 2020 09:18:38 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>이재용 부회장이 ‘진정한’ 대국민 사과를 한다면</title>,<link>http://www.hani.co.kr/arti/economy/economy_general/932510.html</link>
"<pubDate>Fri, 13 Mar 2020 20:31:06 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>기업지배구조원, 한진칼 주총서 조원태 회장 ‘찬성’ 권고</title>",<link>http://www.hani.co.kr/arti/economy/marketing/932516.html</link>
